t-SNE_1,t-SNE_2,Target
3.4439578,35.130985,Graduate
-32.07252,-2.477003,Graduate
-38.284664,10.484368,Dropout
43.930523,-12.3421135,Graduate
-2.2912068,-13.572102,Graduate
-30.848806,-39.795784,Dropout
-27.868084,-11.264652,Enrolled
-14.244323,19.676996,Graduate
-35.98921,-39.721706,Dropout
24.618526,28.814137,Graduate
8.983898,28.076742,Graduate
32.31276,-10.013608,Graduate
-7.4735713,29.197014,Graduate
-34.193905,-2.8533688,Graduate
46.8701,-11.713808,Graduate
-7.2396755,2.463702,Graduate
48.605755,11.778765,Graduate
24.000317,24.519497,Graduate
18.893818,16.978611,Graduate
-15.837284,10.158333,Graduate
0.5405762,20.19296,Graduate
2.7600703,14.225368,Graduate
-38.198097,7.052081,Dropout
32.729023,6.7714286,Graduate
49.98743,-1.0099378,Graduate
12.41003,21.17956,Graduate
25.537432,-2.7236292,Graduate
-16.097939,2.3884895,Graduate
-13.280219,-10.214941,Graduate
-7.4847164,31.891167,Graduate
25.053114,21.406809,Graduate
14.686761,18.170488,Graduate
24.21606,36.569073,Graduate
22.991362,-10.599914,Enrolled
-2.1270826,17.16373,Graduate
44.01304,6.806825,Graduate
-28.609415,-5.5634794,Graduate
40.634586,9.770107,Graduate
-11.588242,-19.290058,Enrolled
28.125795,25.633902,Dropout
-7.3428493,-3.3453286,Graduate
-10.393976,-17.596878,Enrolled
1.0775899,25.560934,Graduate
-7.5477486,33.011295,Graduate
0.50605214,-6.058156,Graduate
-2.3924396,-16.760027,Graduate
-27.519163,5.5119543,Graduate
3.9211323,39.835827,Graduate
18.061209,29.030375,Graduate
-41.68673,-24.610254,Dropout
-8.375609,2.754783,Graduate
14.227158,-9.23751,Graduate
34.94585,-14.557076,Graduate
-36.047825,11.909603,Dropout
52.69608,-0.03974385,Enrolled
53.526314,10.581062,Graduate
7.8572264,29.641518,Graduate
0.5036356,6.525654,Enrolled
29.7652,-18.453535,Graduate
-39.637337,-13.866007,Dropout
17.096895,24.732414,Graduate
-11.712141,-2.6255288,Graduate
6.195952,20.836618,Graduate
57.95199,7.401548,Graduate
-34.968037,-39.38718,Dropout
-29.43745,-4.373381,Enrolled
-18.789165,-37.566376,Graduate
-42.426003,8.955118,Dropout
-0.7698487,17.47435,Graduate
11.702204,-14.641427,Graduate
48.65426,-0.9074306,Graduate
36.820026,-16.640123,Graduate
6.4529004,26.592752,Graduate
49.47373,-14.400811,Enrolled
35.407177,-20.887749,Graduate
-29.198177,-1.5369502,Graduate
-30.646297,-31.847757,Graduate
-18.47169,1.1072927,Enrolled
28.688503,-7.693859,Enrolled
-10.639451,-16.165915,Graduate
15.261325,22.335386,Graduate
-2.3784497,5.038132,Graduate
1.588944,-17.213,Graduate
-35.76607,-7.6253524,Dropout
12.076811,31.515978,Graduate
5.6636696,-12.994291,Graduate
-38.236187,-30.343506,Dropout
55.70523,14.202631,Graduate
-37.741463,-0.5852352,Enrolled
11.541823,13.4748745,Graduate
47.954567,-3.626226,Graduate
24.120672,-16.762722,Enrolled
-46.5182,4.343695,Enrolled
2.3367388,34.686092,Graduate
-15.314809,0.65553576,Graduate
4.323204,-21.654575,Graduate
-19.439812,4.484895,Enrolled
30.704447,7.8180776,Enrolled
-41.10954,-24.917612,Dropout
-27.974476,-32.009132,Dropout
-46.568985,4.1962605,Enrolled
-42.347317,-9.009501,Enrolled
-21.757755,-16.166183,Enrolled
39.47432,-8.922773,Graduate
10.331133,0.51703936,Graduate
47.213345,4.335228,Graduate
30.013077,-9.562049,Graduate
16.642403,27.026718,Graduate
36.62564,19.642654,Graduate
-36.23256,-7.529057,Dropout
49.614285,-0.81791836,Graduate
7.9307914,-22.1155,Graduate
-39.0383,4.1819234,Enrolled
-27.58574,-2.2835882,Graduate
45.406452,8.44237,Graduate
4.8138576,18.90921,Graduate
8.398759,0.47746652,Graduate
-3.0112662,24.909739,Enrolled
13.259656,15.055728,Graduate
-39.389877,-26.830204,Enrolled
-21.55126,-8.879592,Graduate
12.252345,25.089052,Graduate
50.475277,-3.4765182,Graduate
44.64467,-18.004047,Dropout
-6.4583135,-12.231186,Graduate
4.70699,24.349365,Enrolled
38.96001,-6.640108,Graduate
44.25898,-17.647808,Graduate
-24.275211,-13.931116,Enrolled
-16.139656,20.798134,Dropout
3.8272467,31.456417,Graduate
13.363438,-13.331111,Graduate
-24.340233,12.209236,Graduate
-24.1936,12.389093,Enrolled
45.831036,6.216057,Graduate
8.888029,28.912964,Graduate
-29.600428,-16.924936,Dropout
5.144456,-24.40001,Graduate
-21.737461,-7.57838,Graduate
30.17534,10.066339,Graduate
31.016317,-10.023962,Graduate
10.478465,29.738747,Graduate
51.539413,11.664271,Graduate
41.927235,6.167418,Graduate
-1.2647891,-17.004316,Graduate
30.058577,10.056793,Enrolled
-16.873863,-0.4772357,Graduate
-1.9006615,5.06638,Graduate
41.564034,-11.290036,Graduate
-8.96471,-18.938395,Graduate
47.32873,12.859172,Graduate
6.7583303,0.01499934,Graduate
-17.102077,11.548066,Graduate
-23.28728,1.2244624,Dropout
-36.688866,-8.73047,Dropout
-32.390865,-29.56656,Dropout
-31.128685,10.905998,Enrolled
30.01209,-14.979114,Graduate
-50.83612,25.225828,Graduate
-10.486183,9.207829,Graduate
-14.940914,-16.801693,Dropout
40.36764,-16.307209,Graduate
-40.341793,-0.15654357,Enrolled
34.915035,-21.85835,Graduate
3.6793244,18.410608,Enrolled
-30.709713,13.055768,Enrolled
-28.145222,-30.06231,Enrolled
-18.792192,-19.275402,Graduate
-40.099056,0.9881262,Enrolled
34.89353,-0.9956317,Graduate
-51.86489,23.236414,Dropout
-4.6074157,-20.867353,Graduate
-15.164316,14.055667,Graduate
-19.61407,14.525287,Graduate
45.425735,-15.387632,Graduate
0.26942402,-17.22262,Enrolled
-28.14472,-14.241795,Graduate
8.860622,11.072605,Graduate
4.6663322,36.043537,Graduate
-33.887527,-8.395081,Graduate
-3.790613,-10.613981,Graduate
-22.88094,11.889808,Enrolled
-32.382263,-17.84392,Enrolled
-26.656218,-34.157005,Enrolled
-37.487095,-31.02259,Dropout
25.431137,34.551537,Graduate
52.17741,-2.4347947,Graduate
-11.569165,23.915274,Enrolled
-7.531193,-1.2213916,Graduate
-23.708353,-3.5362098,Enrolled
51.31374,13.358544,Graduate
41.644245,-11.60241,Graduate
41.775772,8.151781,Graduate
5.961541,-2.8455286,Graduate
-39.90794,6.909391,Dropout
50.12673,4.473771,Graduate
-35.513283,-13.738956,Dropout
39.88851,-2.7304194,Graduate
-3.3296127,-9.94391,Graduate
25.730112,35.22829,Graduate
31.68293,2.4439538,Graduate
-29.450195,-5.079675,Enrolled
52.07419,-2.4264073,Graduate
21.150938,26.822023,Graduate
-52.36024,25.473946,Enrolled
-22.590958,10.41811,Graduate
13.156139,8.63983,Dropout
-45.578945,-0.5773293,Enrolled
41.938435,-8.374043,Enrolled
-46.00001,-1.3932583,Enrolled
-40.532116,9.17546,Enrolled
-22.524958,-8.626487,Graduate
14.0780735,-10.058949,Graduate
-32.512897,-2.7046802,Graduate
-38.93393,-28.767313,Enrolled
-8.236285,9.163216,Graduate
34.872494,-13.2676525,Graduate
-32.86253,-40.017338,Dropout
37.209568,22.09252,Graduate
-13.844235,-4.7743974,Graduate
-10.190583,-16.577047,Graduate
-47.70711,5.829466,Dropout
4.3141127,2.468461,Enrolled
37.8721,-5.517856,Graduate
-8.321569,9.516612,Enrolled
-30.223536,-28.196978,Dropout
-24.576458,12.219765,Enrolled
30.80454,-17.01094,Graduate
-12.044094,13.787823,Enrolled
-9.079582,2.6791542,Enrolled
-25.527664,7.510889,Enrolled
-32.383747,-37.87704,Dropout
-9.288965,3.4800274,Graduate
-9.902299,-0.44840664,Graduate
-3.5814672,-2.2272336,Graduate
21.855019,-12.842054,Dropout
-51.738117,24.947006,Dropout
30.33886,-12.69615,Graduate
-25.768131,-11.510212,Graduate
7.166473,-19.170286,Graduate
48.35987,7.809631,Graduate
23.840553,14.486426,Graduate
-11.085043,-0.9281057,Graduate
18.86408,18.010492,Graduate
45.416794,-20.242807,Enrolled
-3.8007238,-14.49757,Graduate
16.268387,12.112039,Graduate
21.88858,21.685003,Graduate
-34.80859,-28.813938,Dropout
57.717445,7.538879,Graduate
16.330101,24.612913,Graduate
-11.339728,-2.5070572,Graduate
11.13028,-8.580214,Graduate
34.911995,-18.085627,Graduate
12.274358,23.255423,Graduate
12.0951395,20.808538,Graduate
-8.594267,-7.3727074,Graduate
17.490541,11.022597,Graduate
27.73079,25.741898,Graduate
32.07163,-14.210956,Graduate
16.58875,28.054983,Graduate
-15.212908,-1.1379352,Enrolled
3.032015,-20.462912,Graduate
27.647097,-15.725761,Graduate
-39.737892,-25.585808,Enrolled
14.943111,15.090494,Graduate
-33.10239,-35.6228,Enrolled
41.013435,5.190555,Graduate
51.971386,2.80852,Graduate
35.99848,-19.901497,Graduate
36.126534,-19.386372,Graduate
-18.5821,8.916537,Enrolled
-7.76662,4.7594976,Enrolled
-3.4464893,-3.25403,Graduate
24.119516,-16.787,Enrolled
-4.017148,20.731281,Graduate
9.698158,25.322971,Graduate
-6.417774,-8.442022,Graduate
29.105982,-9.219335,Dropout
18.088509,19.35337,Graduate
-13.95139,2.9421527,Dropout
-34.029804,5.765082,Enrolled
-30.58486,5.373988,Dropout
-18.422754,-18.609158,Graduate
-24.004576,-34.903053,Enrolled
4.9133644,-25.132069,Graduate
-32.17565,-12.521454,Graduate
-38.012398,3.2307572,Graduate
-6.942553,-2.7314188,Enrolled
-21.471613,3.4861917,Enrolled
-0.5815214,-7.162883,Dropout
-38.93391,10.324781,Dropout
-18.63104,-6.290404,Dropout
-33.120472,-36.76035,Dropout
-6.8724957,7.1466823,Graduate
-4.183717,29.60994,Enrolled
54.96248,15.081893,Graduate
-8.834235,32.06028,Dropout
-21.895979,-10.911566,Graduate
16.440905,30.049143,Graduate
42.58788,8.714576,Graduate
51.997784,-1.1816276,Graduate
-40.39071,-11.726929,Graduate
9.4463825,-18.621805,Graduate
55.735336,6.286438,Graduate
-1.8813568,-12.803358,Graduate
-32.73697,-6.246129,Enrolled
11.941647,23.258236,Graduate
-42.804806,-2.1422396,Dropout
-4.9740295,25.300879,Graduate
25.378494,28.59005,Graduate
39.987644,3.2447145,Graduate
-41.98317,-12.570045,Graduate
5.3848667,-21.04492,Graduate
-17.693346,-10.122088,Graduate
-11.957997,19.007723,Graduate
36.852837,9.900307,Graduate
-32.543827,-15.262256,Enrolled
-8.0166,-11.628086,Graduate
7.328623,30.4795,Graduate
51.743736,4.432806,Graduate
-7.3104095,-15.727378,Graduate
-53.088326,26.993431,Graduate
5.528573,31.920572,Graduate
-8.133386,-12.727318,Graduate
8.342191,11.14042,Graduate
-17.365768,-7.9742193,Graduate
-23.694754,4.9485474,Graduate
-32.448692,14.002366,Enrolled
-16.77032,12.28041,Graduate
-35.79308,-40.25738,Enrolled
7.809469,1.3197615,Graduate
-43.60371,-2.7375987,Dropout
46.29261,-16.30658,Graduate
-38.059566,8.443352,Dropout
32.925194,-18.27409,Graduate
-11.578345,-4.2329445,Graduate
3.8792183,-7.19108,Dropout
-10.33006,-1.4729346,Graduate
3.3831048,-13.335566,Dropout
0.36909077,19.106606,Graduate
-6.0414076,-9.4355,Graduate
30.70149,-2.8780334,Graduate
26.885921,-7.0618296,Graduate
7.1366777,12.158737,Graduate
-8.868179,-15.326893,Graduate
-12.653543,-31.911459,Graduate
45.262638,3.5341692,Graduate
25.410952,-4.725534,Graduate
-3.9851568,7.2253494,Graduate
35.27843,-12.191038,Graduate
-41.729103,6.419426,Graduate
-10.247039,31.309229,Enrolled
6.112037,-18.699596,Graduate
-2.4847488,16.41335,Graduate
14.67767,25.695148,Enrolled
-19.591501,4.8851185,Enrolled
41.207245,8.547918,Graduate
37.098976,-16.204165,Graduate
35.59328,-12.749169,Graduate
33.06766,-14.959388,Dropout
51.732826,4.443973,Graduate
49.78777,0.40419668,Graduate
39.9586,7.194784,Dropout
0.84853125,-9.967376,Graduate
43.81778,-12.837757,Graduate
35.337437,-18.738712,Graduate
35.101566,-2.0544696,Graduate
-28.795776,-6.332432,Graduate
46.493374,-0.9728119,Graduate
-33.343647,-17.025284,Enrolled
-29.404987,-15.989494,Graduate
-7.5680523,-11.675447,Graduate
-49.087105,4.8303914,Dropout
39.966927,5.0083156,Graduate
27.760529,35.26622,Graduate
4.180891,22.064344,Graduate
-11.122109,2.4775774,Enrolled
53.557735,-0.44259128,Graduate
12.80673,30.44227,Graduate
25.222376,-7.550636,Enrolled
-19.05861,-8.177456,Graduate
-32.451393,-8.947345,Graduate
45.044304,4.972047,Graduate
-33.36721,-41.503326,Dropout
-32.563873,-12.036628,Graduate
16.439028,14.357502,Graduate
47.10101,3.0693896,Graduate
-37.20124,-9.48182,Enrolled
-34.365067,-2.7382228,Graduate
52.292446,-10.812546,Graduate
39.14117,11.422621,Enrolled
-51.966526,24.238783,Enrolled
55.74306,9.584337,Graduate
38.48584,-5.657176,Graduate
40.241146,-12.448874,Graduate
23.110825,27.841558,Graduate
-11.102449,-10.55454,Graduate
25.659237,17.907253,Graduate
0.6189985,14.698903,Graduate
-30.918625,-38.971294,Graduate
24.683722,20.173828,Graduate
46.385784,3.1836636,Graduate
52.689583,-0.9629016,Graduate
19.134586,29.125444,Graduate
-39.678047,-13.877136,Dropout
47.63577,-16.184101,Graduate
-13.839377,-8.492186,Dropout
15.13452,-0.84830606,Graduate
-28.786507,-9.961585,Enrolled
26.211683,-6.9995966,Enrolled
45.664444,-16.197517,Graduate
27.595945,35.24201,Graduate
-41.63915,-2.044626,Enrolled
31.322037,-7.094228,Enrolled
34.983486,-6.415517,Graduate
-32.14615,-0.43314317,Enrolled
-39.201477,-29.521935,Dropout
3.6370084,18.455196,Graduate
38.330376,-9.056644,Graduate
-16.156797,9.758188,Graduate
13.146667,9.209941,Dropout
-21.3685,-10.896663,Graduate
-17.955273,-12.886937,Graduate
-41.953323,1.2943531,Dropout
-51.472843,26.921486,Enrolled
-35.762318,-12.71032,Graduate
-3.7871964,-18.487486,Graduate
53.464226,14.24462,Graduate
34.1929,-6.2257304,Graduate
-5.8110447,31.623816,Graduate
-45.71967,1.9654276,Dropout
-30.174866,-31.930494,Graduate
16.438387,15.393097,Graduate
29.183546,-8.616032,Enrolled
-36.84839,12.447317,Dropout
-17.758213,-32.758286,Graduate
12.044128,-12.216992,Graduate
-10.240393,32.697163,Enrolled
32.628567,-12.532777,Graduate
5.0354257,14.98791,Graduate
51.21138,-0.20334584,Graduate
46.30419,4.0047493,Graduate
27.089703,18.936148,Graduate
-26.057806,-17.609835,Graduate
-29.896914,-15.965389,Graduate
-8.02398,30.581589,Graduate
-25.378782,-30.149387,Graduate
5.6812205,-3.5523303,Graduate
-52.622234,24.431105,Dropout
14.681599,27.701094,Graduate
-35.874912,-31.024225,Dropout
9.005879,-17.119408,Graduate
6.1492505,3.9433382,Graduate
25.960064,35.74364,Graduate
-33.19915,-11.555934,Graduate
-9.874758,-14.917642,Graduate
47.058125,-9.657631,Graduate
6.8099375,-16.435558,Graduate
-14.827234,-1.7536794,Graduate
50.519314,13.103666,Graduate
43.81068,7.85845,Graduate
5.2340636,4.826478,Enrolled
-20.106192,-15.062314,Graduate
-3.0226111,-11.123326,Graduate
8.533769,26.276054,Graduate
44.415424,7.004375,Graduate
-3.6494117,18.774218,Graduate
22.992088,-12.221841,Dropout
-12.476994,-5.5997176,Enrolled
-7.1332226,4.8491807,Graduate
-23.056814,1.1285267,Graduate
36.875973,-2.6787043,Graduate
-1.3261554,21.205887,Enrolled
47.925518,-13.294978,Graduate
-38.88274,1.7565372,Enrolled
17.75597,20.746613,Graduate
5.1815042,0.6307318,Graduate
4.8838143,12.699782,Graduate
46.434853,-12.487479,Graduate
36.872448,-5.030879,Graduate
37.30651,21.838234,Graduate
22.402374,23.145157,Graduate
-16.741293,0.26464626,Enrolled
38.986446,-7.312732,Graduate
-23.869268,18.955492,Dropout
-14.960581,-16.132658,Graduate
-40.799232,5.7924104,Enrolled
6.5886393,-24.572441,Graduate
53.846096,12.461371,Graduate
35.34233,-17.461355,Graduate
-38.153732,-3.8399036,Enrolled
42.497448,-12.620475,Graduate
-21.460789,0.65472734,Enrolled
32.445145,6.617918,Enrolled
-28.181868,-38.607,Enrolled
43.606125,8.919378,Graduate
22.315556,27.90103,Graduate
-30.027714,-34.437214,Dropout
-4.450034,-6.8200126,Graduate
38.741943,6.5643167,Enrolled
44.164635,-9.768453,Graduate
9.037191,-1.9388362,Graduate
-4.1482086,25.53824,Enrolled
-12.882935,5.4064016,Enrolled
7.015245,-21.304733,Graduate
-31.235847,12.6213,Dropout
43.3952,-14.98319,Graduate
0.6893652,6.6952653,Graduate
-15.539413,0.6684723,Graduate
-9.503744,7.971842,Enrolled
-11.532725,0.8597718,Graduate
6.084016,-23.102625,Graduate
-6.5004983,8.362282,Graduate
-18.767084,-18.702997,Graduate
46.27469,-0.39184785,Graduate
-13.318081,-4.160884,Graduate
-0.0035234592,-7.672511,Graduate
-0.8678278,24.220829,Graduate
-12.372274,5.1161118,Enrolled
54.665794,1.110165,Graduate
20.36059,27.189663,Graduate
43.39023,7.556968,Graduate
-14.893545,-17.801739,Enrolled
-41.406376,8.393992,Dropout
-25.614515,-16.815317,Graduate
6.015421,24.443233,Graduate
-41.064323,-7.892704,Enrolled
33.923134,-13.64058,Graduate
-0.5513264,-8.949147,Graduate
-15.712294,18.212992,Dropout
0.4281323,18.519352,Enrolled
19.927294,26.753,Graduate
-11.084675,-19.265118,Graduate
-41.122787,3.8503866,Enrolled
15.037856,32.546963,Graduate
44.971275,9.55769,Graduate
5.895473,23.448002,Enrolled
11.203782,-18.90056,Graduate
42.178905,9.725923,Enrolled
11.845843,23.937773,Graduate
-51.238514,27.821888,Graduate
-31.713276,4.8866124,Dropout
-15.499929,6.4221835,Dropout
-18.864708,-5.908189,Enrolled
-26.76804,16.078161,Dropout
-22.507782,-8.130665,Enrolled
-34.26298,3.5891016,Dropout
-22.42503,1.3803666,Enrolled
-8.888376,-6.833759,Graduate
-32.122902,7.488398,Enrolled
3.3706725,31.618343,Graduate
-38.484016,0.21558489,Enrolled
20.437569,9.73603,Graduate
1.2540344,29.955229,Graduate
-11.697086,31.351593,Graduate
-8.970275,30.093569,Enrolled
-0.17411163,6.332545,Graduate
42.913307,-15.282034,Graduate
1.9186257,6.357813,Graduate
5.834184,-15.493347,Graduate
-20.815647,-10.041027,Dropout
46.314915,-17.110212,Graduate
-31.597818,-34.83448,Dropout
-24.982595,22.475565,Graduate
3.4739766,-25.23835,Graduate
18.729147,28.179398,Graduate
-34.764297,0.21026744,Dropout
-27.6268,-33.24711,Enrolled
33.114017,-13.131583,Graduate
-26.836077,1.6837146,Enrolled
-21.834219,-4.301351,Graduate
-34.81562,-41.49663,Dropout
27.439884,18.340456,Graduate
-9.7721815,23.307028,Dropout
4.7464643,36.779217,Graduate
-27.150105,-13.742732,Enrolled
-33.443325,6.75388,Enrolled
-44.606052,4.9440937,Dropout
-39.783043,-1.1065937,Enrolled
-22.5532,-10.661458,Enrolled
31.772303,-1.0781322,Enrolled
-31.170034,-13.091133,Dropout
-35.206413,-25.249138,Dropout
-37.81682,7.926404,Enrolled
-8.475001,-18.206394,Enrolled
-4.2518373,-20.797195,Graduate
27.272911,-6.2405014,Graduate
-0.54083264,-10.439004,Graduate
-27.324627,-12.4024725,Graduate
-27.759884,-26.520678,Dropout
34.846413,5.7304454,Graduate
49.284267,0.46463934,Graduate
49.11498,3.457663,Graduate
44.508053,-14.635962,Enrolled
32.639866,-14.321501,Graduate
41.93104,1.866062,Graduate
-0.5660833,-0.64754677,Graduate
-35.784412,0.063167796,Enrolled
11.8025055,-12.389592,Graduate
37.895824,-21.105259,Graduate
52.845726,-1.406212,Graduate
4.124652,-9.004363,Enrolled
12.558059,19.083868,Graduate
-50.7491,24.944088,Enrolled
14.228955,-5.9123964,Graduate
-36.729923,5.8293457,Enrolled
-25.49301,-29.45411,Dropout
-21.319365,-7.494617,Dropout
-3.4378252,-20.04989,Graduate
52.063805,8.742282,Graduate
15.618319,32.06935,Graduate
-15.895818,-5.4678974,Graduate
55.390835,4.112983,Graduate
9.019765,0.53723645,Graduate
-4.7334094,-19.39054,Graduate
3.4985867,33.13213,Graduate
3.1328225,-24.476738,Graduate
45.9188,2.034214,Graduate
33.905304,-12.66036,Graduate
-20.148565,-16.997639,Graduate
6.0040164,25.789204,Graduate
25.840664,35.672848,Graduate
-17.199972,-11.847743,Graduate
-40.75721,-25.091888,Dropout
-14.868363,13.415525,Graduate
-14.226433,7.5710225,Dropout
1.3489897,6.4245844,Dropout
-35.578896,-37.701653,Dropout
-35.086197,-35.46372,Dropout
-8.632545,10.276124,Enrolled
-16.453207,-30.757824,Enrolled
13.864791,13.036203,Graduate
-24.791842,14.48682,Enrolled
-31.557081,1.1881881,Graduate
40.082806,-5.283945,Graduate
-10.233502,13.704194,Enrolled
39.808952,-16.335371,Dropout
-5.377802,0.41784766,Graduate
45.924706,7.321055,Graduate
23.118694,21.582062,Graduate
-2.1545837,18.52395,Graduate
-31.819513,6.782688,Enrolled
-14.1979885,17.567196,Graduate
-29.94875,-13.315617,Graduate
-13.491998,17.514767,Graduate
32.70542,-15.174148,Dropout
-34.99256,-32.730747,Enrolled
-24.440805,4.3681197,Enrolled
-3.4649909,-3.1710737,Graduate
12.035739,-18.649624,Graduate
13.586635,20.539803,Graduate
-3.9954665,20.942623,Enrolled
-31.25789,-22.950747,Dropout
-0.5193514,28.620483,Graduate
-32.884052,-25.04491,Dropout
55.210663,10.164312,Graduate
32.42782,-13.576983,Graduate
-6.6985626,8.267532,Graduate
-8.91355,-28.975208,Graduate
-41.088547,3.63017,Dropout
-13.659172,5.5209227,Dropout
30.348965,-17.080484,Graduate
-26.446314,11.829933,Enrolled
-26.96667,0.9874523,Dropout
-29.049187,-37.900692,Graduate
-3.7459276,-2.5285301,Graduate
-8.765059,-19.791807,Graduate
-50.615128,26.906693,Graduate
-16.46907,-2.2777617,Graduate
-13.080521,17.64342,Graduate
46.157696,-15.882694,Graduate
-2.3627315,-13.882021,Graduate
-45.05823,-0.09676678,Enrolled
-34.223545,-39.87381,Dropout
-25.772049,-32.53233,Graduate
-2.2809227,-3.5399075,Graduate
8.876567,-21.460833,Graduate
-6.361065,-12.488057,Graduate
-20.884762,4.4402757,Enrolled
9.103147,-9.965703,Graduate
-10.725573,-3.1659591,Graduate
37.861355,-6.39751,Graduate
35.42943,-11.187358,Graduate
-0.29657286,-19.502817,Graduate
3.3994894,39.56023,Graduate
-25.033161,-33.428276,Enrolled
3.9950695,-19.968018,Graduate
-26.938118,6.982064,Enrolled
-15.537468,-9.24959,Graduate
-0.119808994,17.113564,Graduate
16.047834,19.181717,Graduate
-19.22677,-27.192913,Enrolled
48.05271,2.4609277,Graduate
-3.9419756,-16.266457,Graduate
-27.354288,-4.3451242,Graduate
-12.277505,6.2207074,Graduate
-20.236141,0.64315313,Graduate
20.09509,13.618226,Graduate
-7.339678,-16.785114,Graduate
-6.4706573,-2.1464567,Graduate
17.515768,11.089955,Dropout
36.912216,-18.443123,Graduate
22.197927,24.003588,Graduate
29.77059,-0.50767523,Graduate
28.31738,-8.455607,Graduate
-28.893955,-2.8412964,Dropout
-14.958586,-28.739128,Graduate
0.37517625,24.062775,Graduate
43.63476,0.664169,Graduate
-32.82974,-29.837318,Enrolled
22.399006,13.252608,Graduate
-0.45722133,25.966486,Dropout
-3.9780738,18.36576,Graduate
-13.732903,7.9667764,Enrolled
11.567354,24.66863,Graduate
-1.9699309,15.899452,Graduate
4.4586253,24.477413,Graduate
8.2111435,-21.787683,Graduate
47.302387,-4.1367364,Graduate
-40.07042,-6.5523686,Graduate
39.65732,5.293888,Graduate
-11.6219015,6.219936,Graduate
6.6112685,-6.3500214,Graduate
-34.84942,-36.946793,Dropout
-15.491134,18.028894,Graduate
-5.8165665,-24.47057,Graduate
37.4411,20.700796,Graduate
41.853992,12.32809,Graduate
-10.990916,-14.874462,Graduate
-15.174776,9.099776,Graduate
42.188126,-12.937936,Graduate
12.793229,10.794285,Graduate
-11.076944,-13.645293,Graduate
29.19368,-5.2281218,Graduate
23.590342,27.725065,Graduate
3.8864806,-0.21292438,Graduate
39.775093,-7.5999036,Graduate
-43.716976,2.3047905,Dropout
-7.9243073,-13.323516,Graduate
27.717691,-10.24461,Graduate
-38.599747,-9.890344,Dropout
-29.165014,15.771823,Graduate
4.1911592,37.486736,Graduate
49.600113,-1.9208673,Graduate
43.178112,-18.490356,Graduate
-22.741358,7.2799177,Graduate
6.1975765,37.54275,Graduate
-6.7022886,-11.983188,Graduate
-2.3233013,-14.051501,Graduate
5.6895013,3.9622355,Graduate
4.4750285,17.564814,Graduate
19.385433,21.084185,Graduate
12.677953,27.284927,Graduate
31.174255,-15.810192,Graduate
53.35358,14.722065,Graduate
2.108843,-8.55392,Graduate
46.37305,-12.087824,Graduate
6.249299,-9.793982,Graduate
11.952736,29.549196,Graduate
12.532627,-11.199606,Dropout
24.248549,29.148947,Graduate
36.670433,-20.975279,Graduate
7.2180247,-24.26892,Graduate
-18.005903,-37.562805,Dropout
-29.952784,-32.38228,Dropout
5.0457263,4.885303,Enrolled
-36.54227,-30.734516,Dropout
23.776094,36.15588,Graduate
-5.7369747,28.309103,Enrolled
