Student_ID,Marital Status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,academic_momentum,engagement_ratio,financial_stress_index,early_performance_score,Cluster,Target,Risk_Status,Risk_Score,trajectory_deteriorating
16,1,17,2,9147,1,1,123.0,1,1,38,4,7,115.3,1,0,0,1,0,1,18,0,0,5,9,3,13.0,0,0,5,11,3,11.0,0,8.9,1.4,3.51,-2.0,0.5,0,6.5,0,Enrolled,AT RISK,81.9,False
17,1,17,1,9238,1,1,154.0,1,19,37,9,7,140.4,1,0,0,1,0,1,20,0,0,6,13,2,10.0,0,0,6,12,4,10.75,0,7.6,2.6,0.32,0.75,0.5714285714285714,0,2.8571428571428568,0,Enrolled,AT RISK,71.2,False
18,1,17,1,9147,1,1,120.0,1,19,19,3,3,113.4,0,0,0,1,0,0,20,0,0,5,11,3,10.33333333,0,0,5,10,3,10.66666667,0,12.4,0.5,1.79,0.3333333399999993,0.5,1,5.166666665,0,Enrolled,AT RISK,94.2,False
19,1,17,1,9254,1,1,133.1,1,1,1,4,5,131.0,1,0,0,1,0,0,21,0,0,6,12,3,11.0,0,0,6,12,2,11.0,0,9.4,-0.8,-3.12,0.0,0.2857142857142857,1,4.714285714285714,0,Dropout,AT RISK,84.8,False
20,1,1,1,9670,1,1,117.0,1,1,38,3,9,109.3,0,0,1,0,0,1,19,0,0,6,7,5,12.0,0,0,6,9,4,12.5,0,12.4,0.5,1.79,0.5,0.5714285714285714,2,8.571428571428571,0,Dropout,AT RISK,59.3,True
21,1,17,1,9670,1,1,120.0,1,19,19,5,5,113.0,1,0,0,1,0,0,20,0,0,5,7,4,12.2,0,0,5,5,4,11.5,0,7.6,2.6,0.32,-0.6999999999999993,0.6666666666666666,1,8.133333333333333,0,Graduate,AT RISK,94.2,False
22,1,17,1,9254,1,1,113.0,1,1,37,9,10,117.2,1,0,0,1,0,0,20,0,0,6,8,5,11.2,0,0,6,12,3,11.66666667,0,7.6,2.6,0.32,0.4666666700000004,0.4285714285714285,1,8.0,0,Dropout,AT RISK,89.9,False
23,1,17,1,9853,1,1,138.0,1,38,38,7,6,124.7,1,0,0,1,0,0,18,0,0,6,11,3,12.33333333,0,0,6,10,5,10.83333333,0,9.4,-0.8,-3.12,-1.5,0.7142857142857143,1,5.2857142842857145,0,Enrolled,AT RISK,86.3,False
24,1,43,1,9853,1,1,115.0,1,3,37,2,5,108.7,1,0,0,1,0,0,21,0,0,6,10,3,12.66666667,0,0,6,12,3,10.0,0,9.4,-0.8,-3.12,-2.66666667,0.4285714285714285,1,5.42857143,0,Dropout,AT RISK,72.4,False
25,1,1,1,9853,1,1,129.0,1,38,37,6,6,138.1,0,0,0,1,0,0,19,0,0,6,8,6,12.0,0,0,6,10,4,11.5,0,7.6,2.6,0.32,-0.5,0.5714285714285714,1,10.285714285714285,0,Dropout,AT RISK,89.5,True
26,1,1,3,9238,1,1,125.0,1,19,1,9,10,123.6,1,0,0,1,0,0,20,0,0,6,10,4,11.0,0,0,6,9,6,11.83333333,0,9.4,-0.8,-3.12,0.8333333300000003,0.8571428571428571,1,6.285714285714286,0,Graduate,AT RISK,81.1,False
27,1,17,3,9238,1,1,125.0,1,19,19,7,8,121.5,0,0,0,1,0,0,19,0,0,6,10,5,11.66666667,0,0,6,12,4,11.0,0,13.9,-0.3,0.79,-0.6666666699999997,0.5714285714285714,1,8.333333335714286,0,Graduate,AT RISK,93.5,False
28,1,43,1,9238,1,1,125.0,1,19,19,4,8,117.0,1,0,0,1,0,0,21,0,0,6,13,3,12.0,0,0,6,12,2,11.33333333,0,16.2,0.3,-0.92,-0.6666666699999997,0.2857142857142857,1,5.142857142857142,0,Dropout,AT RISK,82.1,False
29,1,17,2,9254,1,1,125.0,1,37,37,9,8,122.6,1,0,1,0,0,0,20,0,0,6,8,4,11.75,0,0,6,6,6,13.16666667,0,11.1,0.6,2.02,1.4166666699999997,0.8571428571428571,3,6.7142857142857135,0,Dropout,AT RISK,53.9,False
30,1,1,1,9670,1,1,131.0,1,37,37,9,9,123.0,1,0,0,1,0,1,18,0,0,5,6,3,11.66666667,0,0,5,6,4,13.5,0,7.6,2.6,0.32,1.8333333300000003,0.6666666666666666,0,5.833333335,0,Enrolled,AT RISK,75.2,False
31,1,39,1,9853,1,1,130.0,1,37,19,9,5,102.5,0,0,0,1,0,0,27,0,0,6,9,5,13.2,0,0,6,10,5,12.0,0,7.6,2.6,0.32,-1.1999999999999993,0.7142857142857143,1,9.428571428571429,0,Graduate,AT RISK,74.9,True
32,1,18,2,9147,1,1,132.0,1,3,3,5,7,119.1,1,0,1,0,0,0,20,0,0,5,9,3,10.0,0,0,5,9,3,10.57142857,0,10.8,1.4,1.74,0.5714285700000001,0.5,3,5.0,0,Dropout,AT RISK,58.0,False
33,1,17,2,9238,1,1,128.0,1,19,37,9,8,116.5,0,0,0,1,0,1,18,0,0,6,11,5,11.14285714,0,0,6,11,4,11.25,0,16.2,0.3,-0.92,0.1071428599999997,0.5714285714285714,0,7.959183671428572,0,Graduate,AT RISK,86.6,False
34,1,1,1,9238,1,1,132.0,1,34,34,0,0,119.1,1,0,0,1,0,0,18,0,0,6,9,4,11.0,0,0,6,9,4,10.75,0,7.6,2.6,0.32,-0.25,0.5714285714285714,1,6.285714285714286,0,Graduate,AT RISK,86.5,False
35,1,43,1,9773,1,1,122.0,1,1,1,4,5,126.9,0,0,0,1,0,0,21,0,0,6,8,6,11.71428571,0,0,6,7,6,12.0,0,7.6,2.6,0.32,0.2857142899999996,0.8571428571428571,1,10.040816322857143,0,Graduate,AT RISK,81.3,False
36,1,1,1,9147,1,1,133.0,1,38,38,7,7,147.0,0,0,0,1,0,1,18,0,0,5,7,4,13.0,0,0,5,8,3,12.33333333,0,9.4,-0.8,-3.12,-0.6666666699999997,0.5,0,8.666666666666666,0,Graduate,AT RISK,77.9,True
37,1,1,3,9254,1,1,115.0,1,1,1,3,3,117.5,1,0,0,1,0,0,18,0,0,6,9,4,11.25,0,0,6,13,2,12.5,0,9.4,-0.8,-3.12,1.25,0.2857142857142857,1,6.428571428571428,0,Dropout,AT RISK,75.2,False
38,1,1,2,9254,1,1,140.0,1,1,37,4,5,123.6,1,0,0,1,0,0,18,0,0,6,10,6,12.85714286,0,0,6,6,3,12.66666667,0,12.7,3.7,-1.7,-0.19047619,0.4285714285714285,1,11.020408165714285,0,Graduate,AT RISK,85.9,False
39,1,1,1,9254,1,1,123.0,1,1,37,9,9,132.1,0,0,0,1,0,1,21,0,0,6,9,5,11.0,0,0,6,8,5,12.0,0,15.5,2.8,-4.06,1.0,0.7142857142857143,0,7.857142857142858,0,Graduate,AT RISK,80.2,False
40,1,1,3,9254,1,1,121.0,1,19,37,4,7,116.8,1,0,0,1,0,0,21,0,0,6,8,6,11.33333333,0,0,6,8,4,12.25,0,11.1,0.6,2.02,0.9166666699999996,0.5714285714285714,1,9.714285711428571,0,Graduate,AT RISK,91.6,False
41,1,17,1,9147,1,1,136.0,1,1,1,4,4,124.1,0,0,0,1,0,0,18,0,0,5,8,5,12.4,0,0,5,6,5,10.8,0,8.9,1.4,3.51,-1.5999999999999996,0.8333333333333334,1,10.333333333333334,0,Graduate,AT RISK,83.7,False
42,1,1,2,9773,1,1,146.0,1,3,1,1,3,149.2,1,0,0,1,0,0,18,0,0,6,11,4,12.25,0,0,6,10,3,11.66666667,0,9.4,-0.8,-3.12,-0.5833333300000003,0.4285714285714285,1,7.0,0,Graduate,AT RISK,77.4,False
43,1,1,2,9147,1,1,121.0,1,1,19,9,9,113.7,1,0,0,0,0,0,20,0,0,5,10,2,10.0,0,0,5,12,1,13.0,0,7.6,2.6,0.32,3.0,0.1666666666666666,2,3.333333333333333,0,Dropout,AT RISK,52.4,False
44,1,17,1,9147,1,1,122.0,1,12,19,4,8,117.8,1,0,0,1,0,0,20,0,0,5,10,5,13.5,0,0,5,8,5,12.33333333,0,13.9,-0.3,0.79,-1.1666666699999997,0.8333333333333334,1,11.25,0,Graduate,AT RISK,90.9,False
45,1,42,1,9853,1,1,120.0,1,37,38,3,3,113.7,0,0,0,1,0,0,20,0,0,6,8,5,11.0,0,0,6,10,3,10.66666667,0,12.7,3.7,-1.7,-0.3333333300000003,0.4285714285714285,1,7.857142857142858,0,Dropout,AT RISK,83.6,False
46,1,1,1,9070,1,1,130.0,1,38,37,3,6,135.6,1,0,0,1,0,1,19,0,0,6,9,5,12.0,0,0,6,10,2,11.33333333,0,8.9,1.4,3.51,-0.6666666699999997,0.2857142857142857,0,8.571428571428571,0,Dropout,AT RISK,82.4,False
47,1,1,2,9085,1,1,117.0,1,38,37,9,9,113.5,1,0,0,1,0,1,21,0,0,5,7,4,12.0,0,0,5,5,5,12.2,0,10.8,1.4,1.74,0.1999999999999993,0.8333333333333334,0,8.0,0,Graduate,AT RISK,78.4,False
48,1,51,1,9670,1,1,136.0,1,19,19,5,5,122.0,0,0,1,0,0,0,18,0,0,5,6,2,12.5,0,0,5,6,4,10.25,0,9.4,-0.8,-3.12,-2.25,0.6666666666666666,3,4.166666666666666,0,Dropout,AT RISK,43.5,False
49,1,1,1,9670,1,1,119.0,1,1,19,4,10,115.5,1,0,0,1,0,0,19,0,0,6,8,4,11.0,0,0,6,9,4,11.0,0,10.8,1.4,1.74,0.0,0.5714285714285714,1,6.285714285714286,0,Enrolled,AT RISK,97.9,False
50,1,17,1,9853,1,1,133.1,1,34,34,0,0,118.9,1,0,0,1,0,0,21,0,0,6,12,3,11.33333333,0,0,6,10,3,11.33333333,0,7.6,2.6,0.32,0.0,0.4285714285714285,1,4.857142855714286,0,Dropout,AT RISK,81.4,False
51,1,1,1,9254,1,1,121.0,1,19,19,5,8,117.5,1,0,0,1,0,0,18,0,0,6,7,6,10.57142857,0,0,6,11,3,11.66666667,0,16.2,0.3,-0.92,1.0952380999999995,0.4285714285714285,1,9.061224488571428,0,Graduate,AT RISK,90.2,True
52,1,1,1,9238,1,1,134.0,1,1,1,9,6,130.9,0,0,1,1,0,0,18,0,0,6,10,6,11.85714286,0,0,6,9,5,11.0,0,13.9,-0.3,0.79,-0.8571428599999997,0.7142857142857143,2,10.163265308571429,0,Graduate,AT RISK,73.4,False
53,1,1,1,9853,1,1,132.0,1,2,19,4,4,125.0,1,0,0,1,0,0,18,0,0,6,9,5,12.6,0,0,6,8,5,11.4,0,9.4,-0.8,-3.12,-1.1999999999999993,0.7142857142857143,1,9.0,0,Enrolled,AT RISK,89.6,False
54,1,1,1,9254,1,1,117.0,1,19,19,9,9,116.3,1,0,0,1,0,0,24,0,0,6,9,4,12.6,0,0,6,6,4,11.5,0,12.7,3.7,-1.7,-1.0999999999999996,0.5714285714285714,1,7.199999999999999,0,Dropout,AT RISK,89.3,False
55,1,1,1,9773,1,1,146.0,1,37,38,9,7,128.5,0,0,1,1,0,0,19,0,0,6,13,3,12.66666667,0,0,6,12,2,10.0,0,10.8,1.4,1.74,-2.66666667,0.2857142857142857,2,5.42857143,0,Dropout,AT RISK,61.4,False
56,1,17,1,9085,1,1,134.0,1,19,37,2,7,131.2,0,0,0,1,0,0,19,0,0,5,8,1,11.0,0,0,5,6,5,11.2,0,7.6,2.6,0.32,0.1999999999999993,0.8333333333333334,1,1.8333333333333333,0,Enrolled,AT RISK,77.6,False
57,1,1,1,9238,1,1,135.0,1,38,38,5,7,121.0,0,0,0,1,0,0,19,0,0,6,13,3,10.33333333,0,0,6,12,3,10.33333333,0,7.6,2.6,0.32,0.0,0.4285714285714285,1,4.428571427142857,0,Enrolled,AT RISK,85.7,False
58,1,1,1,9238,1,1,124.0,1,34,34,0,0,129.3,0,0,0,1,0,0,19,0,0,6,8,6,11.5,0,0,6,7,6,11.16666667,0,7.6,2.6,0.32,-0.3333333300000003,0.8571428571428571,1,9.857142857142856,0,Graduate,AT RISK,78.1,False
59,1,17,1,9853,1,1,134.0,1,1,19,4,5,122.5,1,0,0,1,0,0,22,0,0,6,10,5,13.16666667,0,0,6,8,5,12.4,0,15.5,2.8,-4.06,-0.7666666699999993,0.7142857142857143,1,9.404761907142856,0,Enrolled,AT RISK,88.5,False
60,1,39,1,9500,1,1,150.0,1,1,19,5,3,140.0,0,1,0,1,0,0,26,0,0,7,11,5,11.2,0,0,8,13,5,12.14,0,16.2,0.3,-0.92,0.9400000000000012,0.5555555555555556,1,7.0,0,Enrolled,AT RISK,19.5,False
61,1,17,2,9085,1,1,120.0,1,1,1,9,10,115.0,0,0,0,0,0,0,20,0,0,5,8,2,10.5,0,0,5,8,2,12.33333333,0,7.6,2.6,0.32,1.8333333300000003,0.3333333333333333,2,3.5,0,Dropout,AT RISK,60.1,False
62,1,17,1,9670,1,1,124.0,1,37,19,5,8,114.2,1,0,1,1,0,0,18,0,0,6,6,5,11.8,0,0,6,9,4,13.71428571,0,10.8,1.4,1.74,1.91428571,0.5714285714285714,2,8.428571428571429,0,Dropout,AT RISK,75.6,False
63,1,17,1,9254,1,1,136.0,1,37,37,7,7,121.7,1,0,0,1,0,0,20,0,0,6,13,3,10.33333333,0,0,6,12,3,10.33333333,0,10.8,1.4,1.74,0.0,0.4285714285714285,1,4.428571427142857,0,Enrolled,AT RISK,90.6,False
64,1,1,1,9773,1,1,120.0,1,38,37,9,9,114.8,1,1,0,1,0,0,19,0,0,6,11,4,12.25,0,0,6,11,3,11.0,0,7.6,2.6,0.32,-1.25,0.4285714285714285,1,7.0,0,Enrolled,AT RISK,30.3,False
65,1,1,1,9853,1,1,133.1,1,19,19,9,9,97.0,1,0,0,1,0,0,23,0,0,6,9,5,11.6,0,0,6,9,3,11.0,0,12.7,3.7,-1.7,-0.5999999999999996,0.4285714285714285,1,8.285714285714286,0,Dropout,AT RISK,85.1,False
66,1,17,1,9147,1,1,116.0,1,38,2,9,2,112.2,1,0,0,1,0,0,20,0,0,5,8,3,11.33333333,0,0,5,12,2,10.66666667,0,10.8,1.4,1.74,-0.6666666600000006,0.3333333333333333,1,5.666666665,0,Enrolled,AT RISK,84.5,False
67,1,17,1,9670,1,1,121.0,1,19,38,4,10,114.4,0,0,0,1,0,0,19,0,0,6,10,5,11.5,0,0,6,9,4,14.6,0,11.1,0.6,2.02,3.1,0.5714285714285714,1,8.214285714285715,0,Graduate,AT RISK,83.2,False
68,1,17,1,9254,1,1,122.0,1,19,19,5,5,118.2,0,0,0,1,0,1,20,0,0,6,10,4,11.25,0,0,6,6,6,10.5,0,12.4,0.5,1.79,-0.75,0.8571428571428571,0,6.428571428571428,0,Enrolled,AT RISK,88.3,False
69,1,43,1,9130,1,1,127.0,1,19,38,4,5,120.7,1,0,1,1,0,0,18,0,0,5,11,1,12.0,0,0,5,9,3,12.0,0,12.7,3.7,-1.7,0.0,0.5,2,2.0,0,Enrolled,AT RISK,65.3,False
70,1,17,1,9670,1,1,123.0,1,19,19,1,1,114.6,0,0,0,1,0,0,18,0,0,5,5,4,11.0,0,0,5,5,4,11.0,0,9.4,-0.8,-3.12,0.0,0.6666666666666666,1,7.333333333333333,0,Graduate,AT RISK,78.9,False
71,1,1,3,9147,1,1,131.0,1,19,38,9,7,132.4,1,0,0,1,0,0,19,0,0,5,5,5,11.8,0,0,5,8,4,11.25,0,9.4,-0.8,-3.12,-0.5500000000000007,0.6666666666666666,1,9.833333333333334,0,Enrolled,AT RISK,81.0,True
72,1,43,1,9853,1,1,140.0,1,37,19,9,8,122.3,0,0,0,1,0,0,22,0,0,6,9,5,13.6,0,0,6,8,5,12.0,0,12.7,3.7,-1.7,-1.5999999999999996,0.7142857142857143,1,9.714285714285714,0,Dropout,AT RISK,80.6,False
73,1,17,1,9238,1,1,144.0,1,3,1,2,3,126.9,0,0,0,1,0,0,19,0,0,6,8,5,10.6,0,0,6,11,4,10.5,0,15.5,2.8,-4.06,-0.0999999999999996,0.5714285714285714,1,7.571428571428571,0,Graduate,AT RISK,85.5,False
74,1,17,1,9238,1,1,148.0,1,1,1,4,9,129.8,0,0,0,1,0,0,20,0,0,6,11,5,10.6,0,0,6,11,4,10.4,0,15.5,2.8,-4.06,-0.1999999999999993,0.5714285714285714,1,7.571428571428571,0,Enrolled,AT RISK,85.1,False
75,1,1,1,9670,1,1,142.0,1,38,19,7,10,128.4,0,0,0,1,0,0,23,0,0,6,11,6,11.875,0,0,6,9,5,12.83333333,0,11.1,0.6,2.02,0.9583333300000004,0.7142857142857143,1,10.178571428571429,0,Dropout,AT RISK,87.8,False
76,1,1,1,9670,1,1,122.0,1,1,19,3,5,116.8,1,0,0,1,0,0,21,0,0,5,8,4,11.5,0,0,5,5,5,12.8,0,7.6,2.6,0.32,1.3000000000000007,0.8333333333333334,1,7.666666666666666,0,Graduate,AT RISK,86.9,False
77,1,17,1,9254,1,1,122.0,1,1,19,4,3,130.4,1,0,0,1,0,0,18,0,0,6,10,5,11.8,0,0,6,10,5,12.2,0,11.1,0.6,2.02,0.3999999999999986,0.7142857142857143,1,8.428571428571429,0,Graduate,AT RISK,100.0,False
78,1,39,2,9670,1,1,140.0,1,34,34,0,0,100.0,0,0,0,1,0,0,28,0,0,5,6,4,12.5,0,0,5,7,4,11.75,0,7.6,2.6,0.32,-0.75,0.6666666666666666,1,8.333333333333332,0,Graduate,AT RISK,63.6,False
79,1,17,2,9853,1,1,138.0,1,1,1,9,4,123.0,1,0,0,1,0,0,23,0,0,6,10,5,12.8,0,0,6,9,3,11.66666667,0,10.8,1.4,1.74,-1.133333330000001,0.4285714285714285,1,9.142857142857144,0,Dropout,AT RISK,90.6,False
80,1,17,2,9853,1,1,118.0,1,37,37,9,9,112.1,1,0,0,1,0,0,23,0,0,6,11,4,11.25,0,0,6,10,5,10.2,0,7.6,2.6,0.32,-1.0500000000000007,0.7142857142857143,1,6.428571428571428,0,Dropout,AT RISK,85.1,False
81,1,1,1,9130,1,1,154.0,1,3,3,2,2,137.2,1,0,1,1,1,0,18,0,0,6,11,5,13.625,0,0,6,9,4,11.75,0,16.2,0.3,-0.92,-1.875,0.5714285714285714,2,9.732142857142858,0,Dropout,AT RISK,62.5,False
82,1,17,1,9147,1,1,126.0,1,37,37,4,7,116.9,0,0,0,1,1,1,19,0,0,5,12,3,11.66666667,0,0,5,10,3,11.66666667,0,12.7,3.7,-1.7,0.0,0.5,0,5.833333335,0,Enrolled,AT RISK,84.3,False
83,1,43,1,9991,0,1,150.0,1,3,3,4,4,100.0,1,0,0,1,1,0,24,0,0,5,10,4,11.5,0,0,5,11,5,11.28571429,0,13.9,-0.3,0.79,-0.2142857100000004,0.8333333333333334,1,7.666666666666666,0,Graduate,AT RISK,36.4,False
84,1,17,1,9254,1,1,127.0,1,3,19,4,4,116.9,0,0,0,1,1,0,21,0,0,6,7,5,11.0,0,0,6,7,5,12.4,0,15.5,2.8,-4.06,1.4000000000000004,0.7142857142857143,1,7.857142857142858,0,Graduate,AT RISK,87.5,False
85,1,18,3,9773,1,1,128.0,1,19,1,9,9,122.1,1,0,0,1,1,0,19,0,0,6,9,4,12.5,0,0,6,6,6,11.33333333,0,10.8,1.4,1.74,-1.1666666699999997,0.8571428571428571,1,7.142857142857142,0,Dropout,AT RISK,82.0,False
86,1,1,1,9147,1,1,117.0,1,19,19,5,7,118.4,0,0,0,1,1,0,20,0,0,5,8,5,10.0,0,0,5,10,2,12.0,0,7.6,2.6,0.32,2.0,0.3333333333333333,1,8.333333333333334,0,Enrolled,AT RISK,86.2,False
87,1,1,2,9147,1,1,133.0,1,19,1,5,10,121.8,0,0,0,1,1,0,20,0,0,5,9,4,10.2,0,0,5,6,3,11.0,0,15.5,2.8,-4.06,0.8000000000000007,0.5,1,6.799999999999999,0,Enrolled,AT RISK,82.3,False
88,1,1,1,9670,1,1,133.1,1,38,19,5,6,138.0,0,0,1,1,1,0,22,0,0,6,8,6,12.625,0,0,6,11,2,14.5,0,11.1,0.6,2.02,1.875,0.2857142857142857,2,10.821428571428571,0,Enrolled,AT RISK,65.2,True
89,1,17,2,9147,1,1,125.0,1,19,38,9,7,116.3,1,0,0,1,1,0,19,0,0,5,8,5,13.25,0,0,5,8,5,11.0,0,13.9,-0.3,0.79,-2.25,0.8333333333333334,1,11.041666666666668,0,Graduate,AT RISK,83.1,True
90,1,17,1,9147,1,1,130.0,1,19,1,7,4,117.8,1,0,0,1,1,0,20,0,0,5,8,3,11.0,0,0,5,11,3,12.0,0,10.8,1.4,1.74,1.0,0.5,1,5.5,0,Enrolled,AT RISK,96.3,False
91,1,39,1,9991,0,1,139.0,1,1,1,4,10,140.7,0,0,0,1,1,0,25,0,0,5,13,1,10.0,0,0,5,8,2,11.33333333,0,12.4,0.5,1.79,1.3333333300000003,0.3333333333333333,1,1.6666666666666663,0,Dropout,AT RISK,27.0,False
92,1,39,1,9003,1,1,120.0,1,3,4,2,2,120.0,0,0,0,1,1,0,27,0,0,6,10,5,13.0,0,0,6,13,5,11.5,0,16.2,0.3,-0.92,-1.5,0.7142857142857143,1,9.285714285714286,0,Graduate,AT RISK,69.1,False
93,1,1,1,9147,1,1,148.0,1,37,38,9,8,133.0,1,0,0,1,0,0,18,0,0,5,10,4,12.0,0,0,5,9,4,12.8,0,13.9,-0.3,0.79,0.8000000000000007,0.6666666666666666,1,8.0,0,Graduate,AT RISK,88.6,False
94,1,1,3,9254,1,1,122.0,1,37,37,9,3,124.5,1,0,0,1,0,0,19,0,0,6,12,6,11.66666667,0,0,6,14,3,12.0,0,7.6,2.6,0.32,0.3333333300000003,0.4285714285714285,1,10.000000002857142,0,Graduate,AT RISK,77.9,False
95,1,1,1,9500,1,1,133.0,1,3,19,2,8,126.7,0,0,0,1,0,0,19,0,0,7,12,4,12.45,0,0,7,11,5,11.7,0,16.2,0.3,-0.92,-0.75,0.625,1,6.225,0,Enrolled,AT RISK,86.6,False
96,1,17,1,9670,1,1,155.0,1,1,19,4,8,134.7,1,0,0,1,0,0,20,0,0,6,8,5,13.4,0,0,6,10,4,13.0,0,12.7,3.7,-1.7,-0.4000000000000003,0.5714285714285714,1,9.571428571428571,0,Enrolled,AT RISK,87.7,True
97,1,17,1,9003,1,1,119.0,1,37,37,4,6,113.2,0,0,1,1,0,0,20,0,0,6,8,6,13.33333333,0,0,6,8,5,14.0,0,11.1,0.6,2.02,0.6666666699999997,0.7142857142857143,2,11.428571425714283,0,Enrolled,AT RISK,71.2,False
